market,name,date,heat_distance_bucket,latitude,longitude,allocated_visitor_count,n_pois_in_bucket,n_candidates_in_group,confidence
Dallas,AutoZone,2022-10-29,2-3km,32.60530777381819,-96.78105987309402,872.0,1,1,split_estimate
Dallas,AutoZone,2022-11-21,2-3km,32.60530777381819,-96.78105987309402,485.0,1,1,split_estimate
Dallas,AutoZone,2022-12-24,2-3km,32.60530777381819,-96.78105987309402,293.0,1,1,split_estimate
Dallas,AutoZone,2023-01-22,2-3km,32.60530777381819,-96.78105987309402,557.0,1,1,split_estimate
Dallas,AutoZone,2023-01-26,2-3km,32.60530777381819,-96.78105987309402,306.0,1,1,split_estimate
Dallas,AutoZone,2023-02-22,2-3km,32.60530777381819,-96.78105987309402,540.0,1,1,split_estimate
Dallas,AutoZone,2023-03-07,2-3km,32.60530777381819,-96.78105987309402,623.0,1,1,split_estimate
Dallas,AutoZone,2023-03-14,2-3km,32.60530777381819,-96.78105987309402,751.0,1,1,split_estimate
Dallas,AutoZone,2023-03-23,2-3km,32.60530777381819,-96.78105987309402,678.0,1,1,split_estimate
Dallas,AutoZone,2023-04-14,2-3km,32.60530777381819,-96.78105987309402,702.0,1,1,split_estimate
Dallas,AutoZone,2023-04-24,2-3km,32.60530777381819,-96.78105987309402,311.0,1,1,split_estimate
Dallas,AutoZone,2023-04-29,2-3km,32.60530777381819,-96.78105987309402,495.0,1,1,split_estimate
Dallas,AutoZone,2023-05-05,2-3km,32.60530777381819,-96.78105987309402,650.0,1,1,split_estimate
Dallas,AutoZone,2023-05-16,2-3km,32.60530777381819,-96.78105987309402,480.0,1,1,split_estimate
Dallas,AutoZone,2023-05-19,2-3km,32.60530777381819,-96.78105987309402,392.0,1,1,split_estimate
Dallas,AutoZone,2023-05-25,2-3km,32.60530777381819,-96.78105987309402,353.0,1,1,split_estimate
Dallas,AutoZone,2023-06-28,2-3km,32.60530777381819,-96.78105987309402,1039.0,1,1,split_estimate
Dallas,AutoZone,2023-09-14,2-3km,32.60530777381819,-96.78105987309402,551.0,1,1,split_estimate
Dallas,AutoZone,2023-09-30,2-3km,32.60530777381819,-96.78105987309402,596.0,1,1,split_estimate
Dallas,AutoZone,2023-10-01,2-3km,32.60530777381819,-96.78105987309402,474.0,1,1,split_estimate
Dallas,AutoZone,2023-11-09,2-3km,32.60530777381819,-96.78105987309402,746.0,1,1,split_estimate
Dallas,AutoZone,2023-11-18,2-3km,32.60530777381819,-96.78105987309402,790.0,1,1,split_estimate
Dallas,AutoZone,2023-11-25,2-3km,32.60530777381819,-96.78105987309402,684.0,1,1,split_estimate
Dallas,AutoZone,2023-11-29,2-3km,32.60530777381819,-96.78105987309402,467.0,1,1,split_estimate
Dallas,AutoZone,2023-12-12,2-3km,32.60530777381819,-96.78105987309402,359.0,1,1,split_estimate
Dallas,AutoZone,2023-12-13,2-3km,32.60530777381819,-96.78105987309402,244.0,1,1,split_estimate
Dallas,AutoZone,2023-12-25,2-3km,32.60530777381819,-96.78105987309402,0.0,1,1,split_estimate
Dallas,AutoZone,2024-02-05,2-3km,32.60530777381819,-96.78105987309402,574.0,1,1,split_estimate
Dallas,AutoZone,2024-03-08,2-3km,32.60530777381819,-96.78105987309402,552.0,1,1,split_estimate
Dallas,AutoZone,2024-03-17,2-3km,32.60530777381819,-96.78105987309402,446.0,1,1,split_estimate
Dallas,AutoZone,2024-05-17,2-3km,32.60530777381819,-96.78105987309402,563.0,1,1,split_estimate
Dallas,AutoZone,2024-05-19,2-3km,32.60530777381819,-96.78105987309402,672.0,1,1,split_estimate
Dallas,AutoZone,2024-06-22,2-3km,32.60530777381819,-96.78105987309402,345.0,1,1,split_estimate
