time_fk,state_fk,market_fk,daily_visitors,n_stores_reporting,is_hot_season
2020-05-26,CA,Los Angeles / SF Bay Area,12062.0,15,False
2020-05-27,CA,Los Angeles / SF Bay Area,9944.0,13,False
2020-05-28,CA,Los Angeles / SF Bay Area,5737.0,15,False
2020-05-29,CA,Los Angeles / SF Bay Area,5831.0,10,False
2020-05-30,CA,Los Angeles / SF Bay Area,3392.0,10,False
2020-05-31,CA,Los Angeles / SF Bay Area,309.0,6,False
2020-06-01,CA,Los Angeles / SF Bay Area,410.0,5,True
2020-06-02,CA,Los Angeles / SF Bay Area,8754.0,8,True
2020-06-03,CA,Los Angeles / SF Bay Area,5925.0,10,True
2020-06-04,CA,Los Angeles / SF Bay Area,8444.0,10,True
2020-06-05,CA,Los Angeles / SF Bay Area,11247.0,18,True
2020-06-06,CA,Los Angeles / SF Bay Area,7172.0,8,True
2020-06-07,CA,Los Angeles / SF Bay Area,5439.0,9,True
2020-06-08,CA,Los Angeles / SF Bay Area,4092.0,12,True
2020-06-09,CA,Los Angeles / SF Bay Area,12276.0,20,True
2020-06-10,CA,Los Angeles / SF Bay Area,4969.0,12,True
2020-06-11,CA,Los Angeles / SF Bay Area,8852.0,13,True
2020-06-12,CA,Los Angeles / SF Bay Area,6013.0,5,True
2020-06-13,CA,Los Angeles / SF Bay Area,7044.0,13,True
2020-06-14,CA,Los Angeles / SF Bay Area,10023.0,10,True
2020-06-15,CA,Los Angeles / SF Bay Area,19559.0,17,True
2020-06-16,CA,Los Angeles / SF Bay Area,5796.0,11,True
2020-06-17,CA,Los Angeles / SF Bay Area,5520.0,10,True
2020-06-18,CA,Los Angeles / SF Bay Area,2085.0,5,True
2020-06-19,CA,Los Angeles / SF Bay Area,4746.0,11,True
2020-06-20,CA,Los Angeles / SF Bay Area,5140.0,10,True
2020-06-21,CA,Los Angeles / SF Bay Area,10525.0,14,True
2020-06-22,CA,Los Angeles / SF Bay Area,14963.0,15,True
2020-06-23,CA,Los Angeles / SF Bay Area,14473.0,8,True
2020-06-24,CA,Los Angeles / SF Bay Area,2836.0,4,True
2020-06-25,CA,Los Angeles / SF Bay Area,8901.0,13,True
2020-06-26,CA,Los Angeles / SF Bay Area,10738.0,9,True
2020-06-27,CA,Los Angeles / SF Bay Area,3964.0,10,True
2020-06-28,CA,Los Angeles / SF Bay Area,11576.0,17,True
2020-06-29,CA,Los Angeles / SF Bay Area,2721.0,6,True
2020-06-30,CA,Los Angeles / SF Bay Area,5360.0,11,True
2020-07-01,CA,Los Angeles / SF Bay Area,6396.0,11,True
2020-07-02,CA,Los Angeles / SF Bay Area,5184.0,9,True
2020-07-03,CA,Los Angeles / SF Bay Area,13567.0,11,True
2020-07-04,CA,Los Angeles / SF Bay Area,1319.0,6,True
2020-07-05,CA,Los Angeles / SF Bay Area,7972.0,10,True
2020-07-06,CA,Los Angeles / SF Bay Area,3911.0,8,True
2020-07-07,CA,Los Angeles / SF Bay Area,7694.0,18,True
2020-07-08,CA,Los Angeles / SF Bay Area,5213.0,11,True
2020-07-09,CA,Los Angeles / SF Bay Area,5202.0,15,True
2020-07-10,CA,Los Angeles / SF Bay Area,12635.0,16,True
2020-07-11,CA,Los Angeles / SF Bay Area,10021.0,7,True
2020-07-12,CA,Los Angeles / SF Bay Area,1845.0,10,True
2020-07-13,CA,Los Angeles / SF Bay Area,2239.0,8,True
2020-07-14,CA,Los Angeles / SF Bay Area,2947.0,12,True
2020-07-15,CA,Los Angeles / SF Bay Area,10581.0,16,True
2020-07-16,CA,Los Angeles / SF Bay Area,1034.0,3,True
2020-07-17,CA,Los Angeles / SF Bay Area,7286.0,16,True
2020-07-18,CA,Los Angeles / SF Bay Area,5116.0,9,True
2020-07-19,CA,Los Angeles / SF Bay Area,5893.0,8,True
2020-07-20,CA,Los Angeles / SF Bay Area,3816.0,14,True
2020-07-21,CA,Los Angeles / SF Bay Area,5897.0,6,True
2020-07-22,CA,Los Angeles / SF Bay Area,5871.0,11,True
2020-07-23,CA,Los Angeles / SF Bay Area,2070.0,10,True
2020-07-24,CA,Los Angeles / SF Bay Area,4254.0,13,True
2020-07-25,CA,Los Angeles / SF Bay Area,1055.0,8,True
2020-07-26,CA,Los Angeles / SF Bay Area,2521.0,16,True
2020-07-27,CA,Los Angeles / SF Bay Area,2366.0,14,True
2020-07-28,CA,Los Angeles / SF Bay Area,10148.0,8,True
2020-07-29,CA,Los Angeles / SF Bay Area,6586.0,14,True
2020-07-30,CA,Los Angeles / SF Bay Area,5532.0,10,True
2020-07-31,CA,Los Angeles / SF Bay Area,12182.0,14,True
2020-08-01,CA,Los Angeles / SF Bay Area,1824.0,6,True
2020-08-02,CA,Los Angeles / SF Bay Area,6056.0,14,True
