state_fk,market_fk,month,date,predicted,actual,abs_error,pct_error
CA,Los Angeles / SF Bay Area,2020-03,2020-03-04,8014.230049792631,2027.0,5987.230049792631,2.953739541091579
CA,Los Angeles / SF Bay Area,2020-03,2020-03-05,10327.781649484132,11078.0,750.2183505158682,0.06772146150170322
CA,Los Angeles / SF Bay Area,2020-03,2020-03-06,12989.463476107527,8007.0,4982.463476107527,0.6222634539911985
CA,Los Angeles / SF Bay Area,2020-03,2020-03-07,14169.108697342075,9771.0,4398.108697342075,0.4501185853384582
CA,Los Angeles / SF Bay Area,2020-03,2020-03-08,7852.933185667746,14002.0,6149.066814332254,0.43915632154922535
CA,Los Angeles / SF Bay Area,2020-03,2020-03-09,9959.188501939596,6390.0,3569.188501939596,0.5585584510077615
CA,Los Angeles / SF Bay Area,2020-03,2020-03-10,7387.068357068712,4886.0,2501.0683570687124,0.5118846412338748
CA,Los Angeles / SF Bay Area,2020-03,2020-03-11,8014.230049792631,12979.0,4964.769950207369,0.38252330304394555
CA,Los Angeles / SF Bay Area,2020-03,2020-03-12,10327.781649484132,4935.0,5392.781649484132,1.0927622390038767
CA,Los Angeles / SF Bay Area,2020-03,2020-03-13,12989.463476107527,16686.0,3696.5365238924733,0.22153521058926484
CA,Los Angeles / SF Bay Area,2020-03,2020-03-14,14169.108697342075,4739.0,9430.108697342075,1.9898942176286294
CA,Los Angeles / SF Bay Area,2020-03,2020-03-15,7852.933185667746,1762.0,6090.933185667746,3.456829276769436
CA,Los Angeles / SF Bay Area,2020-03,2020-03-16,9959.188501939596,3177.0,6782.188501939596,2.1347776210071125
CA,Los Angeles / SF Bay Area,2020-03,2020-03-17,7387.068357068712,6973.0,414.06835706871243,0.05938166600727268
CA,Los Angeles / SF Bay Area,2020-03,2020-03-18,8014.230049792631,5593.0,2421.230049792631,0.4329036384395907
CA,Los Angeles / SF Bay Area,2020-03,2020-03-19,10327.781649484132,1844.0,8483.781649484132,4.6007492676161235
CA,Los Angeles / SF Bay Area,2020-03,2020-03-20,12989.463476107527,810.0,12179.463476107527,15.036374661861144
CA,Los Angeles / SF Bay Area,2020-03,2020-03-21,14169.108697342075,1338.0,12831.108697342075,9.589767337325915
CA,Los Angeles / SF Bay Area,2020-03,2020-03-22,7852.933185667746,558.0,7294.933185667746,13.073356963562269
CA,Los Angeles / SF Bay Area,2020-03,2020-03-23,9959.188501939596,1937.0,8022.188501939596,4.141553176014247
