state_fk,market_fk,time_fk,p10,p50,p90
TX,Dallas / Houston,2024-04-23,9177.140115129389,11775.309781933316,14733.479639767002
TX,Dallas / Houston,2024-04-24,3917.891047514947,7162.057861714372,11478.175512920245
TX,Dallas / Houston,2024-04-25,4163.576846380565,7348.360855240606,11879.404102071585
TX,Dallas / Houston,2024-04-26,3854.299337377105,6743.838073979105,10979.80978525019
TX,Dallas / Houston,2024-04-27,4098.5613469940035,7091.78115653731,11765.001833136652
TX,Dallas / Houston,2024-04-28,1703.0300418550478,4446.779047924606,8453.415357874592
TX,Dallas / Houston,2024-04-29,4437.029790555265,9697.449154217771,11550.68355922409
TX,Dallas / Houston,2024-04-30,2958.4997684778905,5892.848358869811,9268.454098561539
TX,Dallas / Houston,2024-05-01,1989.2765976278079,3138.995143335644,8500.344298828732
TX,Dallas / Houston,2024-05-02,6886.627771201998,8424.546699859562,13726.222733793138
TX,Dallas / Houston,2024-05-03,4354.264324875803,6701.084201304593,10537.766627886955
TX,Dallas / Houston,2024-05-04,1205.9755452848865,3600.984787945811,8158.720045407481
TX,Dallas / Houston,2024-05-05,1137.802422260101,3834.1442925298115,8243.021868326718
TX,Dallas / Houston,2024-05-06,2265.3727496324377,5062.654835361993,8218.566143486481
TX,Dallas / Houston,2024-05-07,4740.378382900245,6428.588970677575,10742.67562332191
TX,Dallas / Houston,2024-05-08,7540.885642884009,11093.30346163526,15843.432700425801
TX,Dallas / Houston,2024-05-09,13105.35429393733,17753.87229801877,19351.18791583809
TX,Dallas / Houston,2024-05-10,5283.496446313285,7042.947152223809,10905.732541689735
TX,Dallas / Houston,2024-05-11,7693.031803062985,10574.082602744515,14636.620759912026
TX,Dallas / Houston,2024-05-12,2472.331236645286,5341.394931489541,8777.808761391705
TX,Dallas / Houston,2024-05-13,4247.378154148536,7346.903381432307,11414.323347607766
TX,Dallas / Houston,2024-05-14,3005.1324015376713,5651.843514786645,9216.957347784339
TX,Dallas / Houston,2024-05-15,3001.739077159245,5984.975156570558,10170.00461932401
TX,Dallas / Houston,2024-05-16,6945.302736336511,9257.371188850337,13786.953066410562
TX,Dallas / Houston,2024-05-17,4528.6197255877705,6881.699693323397,10853.30793241318
TX,Dallas / Houston,2024-05-18,5307.152636440944,8106.236173908745,10876.612352816066
TX,Dallas / Houston,2024-05-19,10325.53262805629,12546.398783235338,14548.171974481635
TX,Dallas / Houston,2024-05-20,2654.354216703471,5346.321399262923,8568.653266189627
TX,Dallas / Houston,2024-05-21,10568.591465552356,13317.679402697288,15247.320966190535
TX,Dallas / Houston,2024-05-22,1488.0778844801016,4964.202792763226,8664.503695851927
TX,Dallas / Houston,2024-05-23,7071.565385875291,10478.827273615068,14795.863926010887
TX,Dallas / Houston,2024-05-24,5040.527024980428,7800.351132223749,11660.109563702023
TX,Dallas / Houston,2024-05-25,1808.4834649263612,4650.315297762034,8894.606824740604
TX,Dallas / Houston,2024-05-26,2101.631567766002,4338.228377102191,9166.373227658352
TX,Dallas / Houston,2024-05-27,5339.010187880679,8876.493448276953,11841.879250719741
