state_fk,market_fk,as_of_date,time_fk,forecast_daily_visitors,is_hot_season,forecast_method
KS,Kansas City,2024-12-31,2025-01-10,364.8260293371006,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-11,356.54643390253,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-12,339.256597891073,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-13,279.184218697448,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-14,281.8302791860717,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-15,348.71766392623334,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-16,303.97371156639616,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-17,364.8260293371006,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-18,356.54643390253,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-19,339.256597891073,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-20,279.184218697448,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-21,281.8302791860717,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-22,348.71766392623334,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-23,303.97371156639616,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-24,364.8260293371006,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-25,356.54643390253,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-26,339.256597891073,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-27,279.184218697448,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-28,281.8302791860717,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-29,348.71766392623334,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-30,303.97371156639616,False,trailing_7day_level_x_real_weekday_profile
KS,Kansas City,2024-12-31,2025-01-31,364.8260293371006,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-01,584.2328844009971,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-02,680.9362093437235,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-03,752.5798151007742,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-04,798.6371785432509,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-05,592.9959532550822,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-06,597.3282896126151,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-07,558.459585389325,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-08,584.2328844009971,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-09,680.9362093437235,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-10,752.5798151007742,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-11,798.6371785432509,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-12,592.9959532550822,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-13,597.3282896126151,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-14,558.459585389325,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-15,584.2328844009971,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-16,680.9362093437235,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-17,752.5798151007742,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-18,798.6371785432509,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-19,592.9959532550822,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-20,597.3282896126151,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-21,558.459585389325,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-22,584.2328844009971,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-23,680.9362093437235,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-24,752.5798151007742,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-25,798.6371785432509,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-26,592.9959532550822,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-27,597.3282896126151,False,trailing_7day_level_x_real_weekday_profile
MA,Boston,2024-12-31,2025-01-28,558.459585389325,False,trailing_7day_level_x_real_weekday_profile
