state_fk,market_fk,time_fk,foursquare_crowd_0_1km,foursquare_crowd_1_2km,foursquare_crowd_2_3km,foursquare_crowd_3_5km,foursquare_crowd_5km_plus,foursquare_crowd_total,foursquare_lat_0_1km,foursquare_lat_1_2km,foursquare_lat_2_3km,foursquare_lat_3_5km,foursquare_lat_5km_plus,foursquare_lon_0_1km,foursquare_lon_1_2km,foursquare_lon_2_3km,foursquare_lon_3_5km,foursquare_lon_5km_plus
TX,Dallas / Houston,2021-02-25,1032.8666666666666,278.6666666666667,558.3333333333334,502.8,139.33333333333334,2512.0000000000005,31.388480175625972,31.2463680518495,32.60371619670534,29.82348109068525,29.580245261347233,-96.27904286502788,-96.03533878204992,-96.78622640675171,-95.3693502285139,-95.39563538455086
TX,Dallas / Houston,2021-02-26,1428.0,408.0,0.0,301.0,612.0,2749.0,31.467118589822704,32.605646671949536,,29.626839978434553,29.599104745112413,-96.18642197137633,-96.82371279490332,,-95.3887735244042,-95.36744540101678
TX,Dallas / Houston,2021-02-27,2018.0,1513.5,0.0,0.0,504.5,4036.0,31.322629799237017,31.713036592461002,,,29.580022606557502,-96.157502380025,-96.29172255315117,,,-95.39784655158356
TX,Dallas / Houston,2021-02-28,806.4,7399.2,0.0,0.0,358.4,8564.0,31.491612438929707,29.881456571972194,,,29.580976493647356,-96.24245729132171,-95.38948639896807,,,-95.39402713061827
TX,Dallas / Houston,2021-03-01,1448.5,1277.0,71.25,0.0,71.25,2868.0,30.430893111888032,31.26417264054501,32.60489193795817,,29.57849330631566,-95.80374364451947,-96.10158190994943,-96.78611703125613,,-95.40381472897492
TX,Dallas / Houston,2021-03-02,1457.0,740.0,0.0,0.0,1457.0,3654.0,32.6178663,32.65791666880418,,,29.583429299141805,-96.824437,-96.89203457673513,,,-95.38754710700924
TX,Dallas / Houston,2021-03-03,1119.5,0.0,2239.0,559.75,559.75,4478.0,29.761982991206477,,32.605256662083185,29.902854063905387,29.576595677410115,-95.47525473489691,,-96.78893553016783,-95.33106466427998,-95.40570521966522
TX,Dallas / Houston,2021-03-04,2048.0,1707.5,686.0,686.0,340.5,5468.0,30.802059088037062,30.97024575534046,32.77712609201614,32.76747824487442,29.580022606557502,-95.85282337007429,-95.9655322453906,-96.61893154920664,-96.62837754717668,-95.39784655158356
TX,Dallas / Houston,2021-03-05,1762.0,0.0,881.0,881.0,0.0,3524.0,32.843147242202804,,29.703626880599472,29.9335,,-96.91737347178238,,-95.29607189455244,-95.37760000000002,
TX,Dallas / Houston,2021-03-06,5461.9,1355.6,1542.25,609.0,933.25,9902.0,31.440593927079906,31.49717901828638,30.916168059293913,32.76747824487442,29.57998274618186,-96.16224305638973,-96.15650354384881,-95.81715421535446,-96.62837754717668,-95.3987360698811
TX,Dallas / Houston,2021-03-07,2299.6666666666665,4009.666666666667,2874.0,204.0,206.66666666666666,9594.0,31.36623584379891,31.338831060755137,31.251232603526386,29.626839978434553,29.599001599999998,-96.23845366086385,-96.13245047977283,-95.96439392169152,-95.3887735244042,-95.3688527
TX,Dallas / Houston,2021-03-08,2236.5,639.0,0.0,0.0,958.5,3834.0,31.46711858982271,32.605646671949536,,,29.599104745112417,-96.18642197137636,-96.82371279490332,,,-95.36744540101678
TX,Dallas / Houston,2021-03-09,3170.5,2031.0,4278.5,1061.75,2077.25,12619.0,30.747384158917583,31.280298171748637,32.5844074517517,29.90285406390539,29.57822450521852,-95.93705485296567,-96.07902630721746,-96.77745297138105,-95.33106466427998,-95.40143995781905
TX,Dallas / Houston,2021-03-11,1966.5,778.0,2134.75,335.0,438.75,5653.0,31.06831033377055,30.573392367191143,31.68791627152428,29.90285406390539,29.57704440447325,-96.05539597257427,-95.67630581502463,-96.28370674479717,-95.33106466427998,-95.40525818055612
TX,Dallas / Houston,2021-03-12,0.0,0.0,0.0,1609.0,0.0,1609.0,,,,32.80185656982824,,,,,-97.03038559547744,
TX,Dallas / Houston,2021-03-13,0.0,315.0,0.0,0.0,0.0,315.0,,29.697860499409547,,,,,-95.29660252645712,,,
